hash,date,year_month,files,insertions,deletions,churn,entropy,num_authors,msg_len
86bf9dc,2019-02-24,2019-02,0,3,3,0,0.0,1,71
d838f1c,2019-03-06,2019-03,1,4,4,8,0.0,1,106
5cb4b73,2019-03-06,2019-03,0,4,4,0,0.0,1,118
4df7b22,2019-04-12,2019-04,1,1,1,2,0.0,1,32
42b67a1,2019-04-11,2019-04,0,1,1,0,0.0,1,110
de01dfb,2019-04-15,2019-04,1,1,1,2,0.0,1,175
c5c8bbc,2019-04-15,2019-04,0,1,1,0,0.0,1,69
af5fb14,2019-05-04,2019-05,1,51,0,51,0.0,1,29
f2df162,2019-05-04,2019-05,1,3,0,3,0.0,1,9
f9ee834,2019-05-04,2019-05,1,0,2,2,0.0,1,25
3257b1d,2019-05-04,2019-05,1,1,0,1,0.0,1,13
12ab9f9,2019-05-04,2019-05,0,53,0,0,0.0,1,61
e8d838a,2019-05-04,2019-05,2,78,53,131,0.8029,1,43
459176a,2019-05-04,2019-05,2,3,3,6,2.578,1,29
8535503,2019-05-04,2019-05,1,2,2,4,0.0,1,35
41186d3,2019-05-04,2019-05,2,13,3,16,3.6625,1,22
29a47ae,2019-05-06,2019-05,1,1,0,1,0.0,1,40
a07c60a,2019-05-06,2019-05,0,1,0,0,0.0,1,97
6606a4a,2019-05-06,2019-05,15,104,89,193,26.8803,1,21
b78a803,2019-05-06,2019-05,1,76,0,76,0.0,1,617
5e378b4,2019-05-06,2019-05,0,76,0,0,0.0,1,77
819368a,2019-05-06,2019-05,0,104,89,0,0.0,1,89
5b30983,2019-05-06,2019-05,2,10,0,10,3.4594,1,61
025589e,2019-05-06,2019-05,63,3788,3463,7251,58.9285,1,52
1dda032,2019-05-06,2019-05,0,3798,3463,0,0.0,1,74
42da151,2019-05-08,2019-05,1,1,1,2,0.0,1,39
49a0464,2019-05-13,2019-05,0,1,1,0,0.0,1,129
205c943,2019-05-13,2019-05,1,1,1,2,0.0,1,27
d23b160,2019-02-12,2019-02,1,1,1,2,0.0,1,52
c88e463,2019-05-16,2019-05,0,1,1,0,0.0,1,102
4260b7c,2019-05-16,2019-05,0,88,53,0,0.0,1,109
b765e0d,2019-05-16,2019-05,0,1,1,0,0.0,1,80
800c744,2019-03-09,2019-03,1,9,11,20,0.0,1,31
4091013,2019-05-16,2019-05,0,9,11,0,0.0,1,101
62fe156,2019-04-03,2019-04,1,2,0,2,0.0,1,23
5e41e40,2019-05-16,2019-05,1,3,4,7,0.0,1,26
eadb99e,2019-05-16,2019-05,0,3,2,0,0.0,1,103
e5b0fe6,2019-03-23,2019-03,1,4,4,8,0.0,1,146
bbedd64,2019-05-16,2019-05,0,4,4,0,0.0,1,102
994cd1d,2019-04-07,2019-04,1,2,2,4,0.0,1,51
8609b7d,2019-05-16,2019-05,0,2,2,0,0.0,1,122
c2b4b74,2019-04-23,2019-04,1,17,4,21,0.0,1,41
e61fd5f,2019-05-16,2019-05,1,8,9,17,0.0,1,45
00ca5b7,2019-05-16,2019-05,0,15,3,0,0.0,1,79
0df2620,2019-04-24,2019-04,2,12,6,18,3.9009,1,48
7f782ba,2019-05-16,2019-05,0,12,6,0,0.0,1,132
4e272fc,2019-05-14,2019-05,9,14,14,28,14.7641,1,34
ded0f68,2019-05-16,2019-05,0,14,14,0,0.0,1,83
af813d0,2019-05-16,2019-05,1,1,4,5,0.0,1,29
d68abe9,2019-05-16,2019-05,0,1,4,0,0.0,1,86
2236ba9,2019-05-16,2019-05,0,76,60,0,0.0,1,20
bcf8cb1,2019-05-16,2019-05,3,16,12,28,5.5943,1,28
84f8e16,2019-05-16,2019-05,6,115,101,216,15.9969,1,34
814a7ea,2019-05-16,2019-05,0,115,101,0,0.0,1,79
953284a,2019-05-16,2019-05,0,100,180,0,0.0,1,20
ac78da0,2019-04-26,2019-04,1,0,1,1,0.0,1,36
55801b5,2019-05-16,2019-05,0,0,1,0,0.0,1,103
6142aa6,2019-04-14,2019-04,1,4,3,7,0.0,1,267
ab3f922,2019-05-16,2019-05,0,4,3,0,0.0,1,116
e2f4b53,2019-05-03,2019-05,1,2,2,4,0.0,1,50
f2c8540,2019-05-16,2019-05,0,2,2,0,0.0,1,154
a4f0f19,2019-05-17,2019-05,4,95,39,134,8.6806,1,43
3dc84ec,2019-05-17,2019-05,0,95,39,0,0.0,1,99
99660cc,2019-05-17,2019-05,2,5,5,10,2.4975,1,21
05a4e15,2019-05-17,2019-05,0,105,49,0,0.0,1,20
ad709be,2019-05-06,2019-05,2,27,0,27,1.8313,1,41
6f703a5,2019-05-17,2019-05,3,14,22,36,5.4852,1,32
6dbcbde,2019-05-17,2019-05,2,3,0,3,1.8366,1,17
8ef56c8,2019-05-17,2019-05,0,24,2,0,0.0,1,97
1f3923a,2019-05-06,2019-05,3,27,3,30,5.8391,1,301
aade460,2019-05-17,2019-05,0,27,3,0,0.0,1,100
af3c24c,2019-05-07,2019-05,1,1,1,2,0.0,1,181
