hash,date,year_month,files,insertions,deletions,churn,entropy,num_authors,msg_len
63b4025,2020-02-10,2020-02,1,1,0,1,0.0,1,49
0834da8,2020-02-10,2020-02,0,1,0,0,0.0,1,20
6627c5a,2020-02-10,2020-02,1,1,0,1,0.0,1,37
e7dc413,2020-02-10,2020-02,0,1,0,0,0.0,1,84
85db013,2020-02-10,2020-02,1,1,1,2,0.0,1,35
8086ce8,2020-02-10,2020-02,1,9,0,9,0.0,1,20
191710c,2020-02-10,2020-02,1,1,1,2,0.0,1,29
79c71f2,2020-02-10,2020-02,1,1,1,2,0.0,1,10
2f8086e,2020-02-10,2020-02,0,14,4,0,0.0,1,55
9b424e9,2020-02-10,2020-02,0,10,0,0,0.0,1,31
5ceb0a5,2020-02-10,2020-02,0,11,0,0,0.0,1,20
900fa2f,2020-02-10,2020-02,2,3,2,5,1.8662,1,22
a3e4395,2020-02-10,2020-02,0,3,2,0,0.0,1,122
d92b64a,2020-02-10,2020-02,2,3,5,8,2.5717,1,14
ef27c1b,2020-02-10,2020-02,0,2,4,0,0.0,1,31
ab6e630,2020-02-10,2020-02,0,2,4,0,0.0,1,20
e6ac789,2019-11-22,2019-11,1,2,4,6,0.0,1,33
aa1d4cb,2020-01-04,2020-01,1,1,3,4,0.0,1,38
5da342e,2019-12-19,2019-12,2,2,2,4,2.3219,1,46
28d09ae,2020-02-10,2020-02,0,2,4,0,0.0,1,66
986871b,2020-02-10,2020-02,0,2,2,0,0.0,1,115
982663d,2020-02-10,2020-02,0,1,3,0,0.0,1,115
bcde664,2020-02-09,2020-02,3,11,7,18,5.9137,1,35
b80eaf2,2020-02-06,2020-02,1,3,2,5,0.0,1,62
571e92b,2020-01-22,2020-01,1,8,4,12,0.0,1,83
b074a2e,2020-02-10,2020-02,0,11,7,0,0.0,1,87
8973b58,2020-02-10,2020-02,0,8,4,0,0.0,1,89
c12d9f8,2020-02-10,2020-02,0,3,2,0,0.0,1,69
d4076cf,2019-12-26,2019-12,3,14,1,15,4.4132,1,42
07556da,2020-02-10,2020-02,0,6,3,0,0.0,1,43
7e06814,2020-01-03,2020-01,1,1,1,2,0.0,1,45
71b7468,2020-02-10,2020-02,0,1,1,0,0.0,1,100
909b975,2020-02-10,2020-02,0,1,1,0,0.0,1,43
e6178fe,2020-02-12,2020-02,1,3,1,4,0.0,1,30
a753150,2020-02-12,2020-02,0,15,0,0,0.0,1,115
64ba434,2020-02-15,2020-02,0,15,0,0,0.0,1,43
37f582d,2020-02-27,2020-02,1,1,1,2,0.0,1,24
1d45539,2020-02-28,2020-02,1,1,1,2,0.0,1,557
fd3fca2,2020-02-28,2020-02,0,1,1,0,0.0,1,81
9311a82,2020-03-02,2020-03,1,0,3,3,0.0,1,492
56e75ea,2020-03-04,2020-03,1,13,13,26,0.0,1,189
ceed993,2020-03-05,2020-03,1,2,2,4,0.0,1,44
d5f88da,2020-02-23,2020-02,1,18,11,29,0.0,1,40
bac908e,2020-03-11,2020-03,0,18,11,0,0.0,1,75
29d3320,2020-03-11,2020-03,0,0,3,0,0.0,1,89
d115d84,2020-03-16,2020-03,1,1,1,2,0.0,1,123
c47c8c4,2020-03-16,2020-03,0,1,1,0,0.0,1,94
e047dd6,2020-03-18,2020-03,1,1,1,2,0.0,1,38
8fc723c,2020-03-24,2020-03,1,1,1,2,0.0,1,15
80a597b,2020-03-24,2020-03,0,1,1,0,0.0,1,65
1736e01,2020-03-25,2020-03,1,1,1,2,0.0,1,23
bcf0a95,2020-03-25,2020-03,0,1,1,0,0.0,1,73
aad9926,2020-04-02,2020-04,0,1,1,0,0.0,1,88
ac9589c,2020-04-02,2020-04,0,2,2,0,0.0,1,94
037ae3f,2020-04-02,2020-04,0,6,6,0,0.0,1,43
c6a619a,2020-04-02,2020-04,1,10,9,19,0.0,1,31
57f9623,2020-04-02,2020-04,1,31,11,42,0.0,1,39
3d61fc4,2020-04-02,2020-04,0,30,10,0,0.0,1,95
4548e00,2020-03-20,2020-03,1,3,3,6,0.0,1,46
f991a89,2020-04-03,2020-04,0,3,3,0,0.0,1,103
4024a4a,2020-04-03,2020-04,2,18,17,35,4.4623,1,27
93dd170,2020-04-03,2020-04,3,3,2,5,3.9341,1,21
96b4dca,2020-04-03,2020-04,0,34,31,0,0.0,1,20
7673835,2020-04-03,2020-04,17,53,908,941,22.9925,1,25
a0a61ac,2020-04-03,2020-04,7,54,130,184,12.2098,1,35
1263d3b,2020-04-03,2020-04,9,0,198,198,20.8736,1,22
662c245,2020-04-03,2020-04,20,68,274,342,27.0285,1,21
57d628c,2020-04-04,2020-04,9,37,89,126,18.6883,1,23
524fd0b,2020-04-04,2020-04,54,169,230,399,42.8262,1,15
2ae740d,2020-04-04,2020-04,35,227,245,472,37.0325,1,20
cd8a374,2020-04-04,2020-04,0,586,2052,0,0.0,1,65
f2f027d,2020-04-04,2020-04,37,15,331,346,43.4378,1,31
171aabc,2020-04-04,2020-04,55,129,221,350,45.1383,1,67
024f0d3,2020-04-04,2020-04,14,142,151,293,28.0785,1,34
c43edfc,2020-04-07,2020-04,6,27,113,140,11.6301,1,140
8b5f760,2020-04-07,2020-04,2,54,49,103,0.5284,1,74
756902c,2020-04-07,2020-04,4,142,135,277,7.6322,1,16
e69b49b,2020-04-07,2020-04,0,212,286,0,0.0,1,105
7e3b8ab,2020-04-07,2020-04,2,3,37,40,3.2673,1,47
fcac7f1,2020-04-07,2020-04,5,45,38,83,11.2276,1,40
0d04b40,2020-04-07,2020-04,0,45,38,0,0.0,1,105
ff2f713,2020-04-07,2020-04,4,67,40,107,2.964,1,74
2062d98,2020-04-07,2020-04,0,67,40,0,0.0,1,79
846ee2c,2020-04-16,2020-04,2,11,1,12,3.3981,1,50
d091bb0,2020-04-16,2020-04,0,11,1,0,0.0,1,107
c432d8b,2020-05-08,2020-05,1,1,1,2,0.0,1,31
cdf0b5b,2020-05-18,2020-05,1,8,0,8,0.0,1,22
5b1d47f,2020-05-18,2020-05,0,8,0,0,0.0,1,72
295e1e7,2020-05-23,2020-05,1,13,0,13,0.0,1,16
8e2fb46,2020-05-23,2020-05,1,119,82,201,0.0,1,25
eea31f2,2020-05-23,2020-05,13,137,29,166,21.1131,1,39
51c87e6,2020-05-23,2020-05,0,254,109,0,0.0,1,91
2344cd6,2020-05-23,2020-05,2,53,44,97,6.5736,1,25
330a3e3,2020-05-23,2020-05,0,53,44,0,0.0,1,79
9eae42b,2020-05-27,2020-05,2,2,2,4,2.3219,1,488
fd348ba,2020-05-28,2020-05,1,1,1,2,0.0,1,511
8075be8,2020-06-03,2020-06,2,2,2,4,2.3219,1,386
42817f0,2020-06-03,2020-06,0,2,2,0,0.0,1,98
c2f2d97,2020-06-05,2020-06,2,2,2,4,2.3219,1,415
c347921,2020-06-05,2020-06,0,2,2,0,0.0,1,105
0b6a05f,2020-05-31,2020-05,1,19,0,19,0.0,1,34
c59e019,2020-06-05,2020-06,1,3,3,6,0.0,1,30
51686f5,2020-06-07,2020-06,1,16,9,25,0.0,1,37
88c9c68,2020-06-07,2020-06,0,26,0,0,0.0,1,111
6eeb912,2020-06-07,2020-06,0,26,0,0,0.0,1,43
eec29a8,2020-06-07,2020-06,0,1,1,0,0.0,1,81
347383b,2020-06-08,2020-06,1,1,1,2,0.0,1,367
bcb4f2f,2020-06-08,2020-06,0,1,1,0,0.0,1,63
3207777,2020-06-08,2020-06,2,2,2,4,2.3219,1,379
d4f443d,2020-06-08,2020-06,0,2,2,0,0.0,1,65
f6d5daa,2020-06-09,2020-06,1,1,1,2,0.0,1,411
fcc0d6e,2020-06-09,2020-06,0,1,1,0,0.0,1,69
a753fd6,2020-06-10,2020-06,1,1,1,2,0.0,1,395
18a7751,2020-06-10,2020-06,0,1,1,0,0.0,1,68
ee28a13,2020-06-10,2020-06,1,1,1,2,0.0,1,411
3ee366a,2020-06-10,2020-06,0,1,1,0,0.0,1,69
a54f6ee,2020-06-11,2020-06,1,55,73,127,0.0,1,25
710ac0d,2020-06-15,2020-06,2,2,2,4,2.3219,1,379
ecd07d6,2020-06-15,2020-06,0,2,2,0,0.0,1,65
92f648b,2020-06-17,2020-06,1,4,8,12,0.0,1,189
9075da1,2020-06-18,2020-06,0,4,8,0,0.0,1,96
aec07a1,2020-06-21,2020-06,1,1,6,7,0.0,1,47
efbd721,2020-06-23,2020-06,1,6,2,8,0.0,1,35
26ec470,2020-06-23,2020-06,1,1,1,2,0.0,1,25
2254adf,2020-06-23,2020-06,1,1,5,6,0.0,1,41
3349c49,2020-06-24,2020-06,0,2,7,0,0.0,1,115
d74a862,2020-06-29,2020-06,1,1,1,2,0.0,1,367
fe992ca,2020-06-29,2020-06,0,1,1,0,0.0,1,63
cdc5a49,2020-06-30,2020-06,1,1,1,2,0.0,1,367
2b517a1,2020-06-30,2020-06,0,1,1,0,0.0,1,63
634e901,2020-07-01,2020-07,1,2,0,2,0.0,1,15
1f5a5dc,2020-07-02,2020-07,1,1,1,2,0.0,1,411
0a3e91b,2020-07-02,2020-07,0,1,1,0,0.0,1,69
7d7e8ee,2020-07-02,2020-07,1,1,3,4,0.0,1,177
47e165d,2020-07-02,2020-07,0,1,3,0,0.0,1,120
8074cbd,2020-07-03,2020-07,1,3,3,6,0.0,1,48
718afcc,2020-07-05,2020-07,1,7,7,14,0.0,1,46
3fe5eec,2020-07-05,2020-07,0,5,5,0,0.0,1,94
84cbfc0,2020-04-07,2020-04,2,1,8,9,2.5386,1,42
e403e9e,2020-04-14,2020-04,1,3,0,3,0.0,1,49
7fbb4f7,2020-07-06,2020-07,2,2,2,4,2.3219,1,431
38a0d40,2020-07-06,2020-07,0,2,2,0,0.0,1,73
5f6586a,2020-07-06,2020-07,2,2,2,4,2.3219,1,379
b82cca7,2020-07-06,2020-07,0,2,2,0,0.0,1,65
7ba35c4,2020-04-20,2020-04,3,20,1,21,6.05,1,289
cf5b1d0,2020-07-06,2020-07,0,20,1,0,0.0,1,117
b724832,2020-04-20,2020-04,3,22,1,23,6.1337,1,72
b82c2e6,2020-07-06,2020-07,0,22,1,0,0.0,1,135
4a1acc8,2020-07-08,2020-07,2,4,3,7,2.9557,1,20
a12a341,2020-07-08,2020-07,0,4,3,0,0.0,1,77
aab20ad,2020-07-08,2020-07,1,1,1,2,0.0,1,8
4e854ee,2020-07-08,2020-07,0,1,1,0,0.0,1,56
6ef9daf,2020-07-15,2020-07,1,1,1,2,0.0,1,367
d0d7b79,2020-07-15,2020-07,0,1,1,0,0.0,1,63
77e33c4,2020-07-16,2020-07,1,1,1,2,0.0,1,367
65a0a4b,2020-07-16,2020-07,0,1,1,0,0.0,1,63
a40c381,2020-07-18,2020-07,0,4,8,0,0.0,1,94
1580aa3,2020-07-21,2020-07,3,3,3,6,4.4496,1,27
f32f191,2020-07-21,2020-07,0,3,3,0,0.0,1,86
19a0db6,2020-07-23,2020-07,2,2,7,9,2.5386,1,176
6f2fdc5,2020-07-23,2020-07,0,2,7,0,0.0,1,99
7b09a09,2020-07-11,2020-07,3,15,7,22,6.0707,1,42
2fa8eb3,2020-07-23,2020-07,0,15,7,0,0.0,1,102
eb96ace,2020-07-24,2020-07,1,1,1,2,0.0,1,367
165f059,2020-07-24,2020-07,0,1,1,0,0.0,1,63
59b0b85,2020-05-02,2020-05,5,460,288,739,10.2593,1,180
21c3df3,2020-07-24,2020-07,0,460,288,0,0.0,1,105
569c88d,2020-06-29,2020-06,2,245,288,526,0.7007,1,48
75a9b74,2020-07-26,2020-07,2,0,13,13,2.9673,1,34
3f8ff0d,2020-07-27,2020-07,1,1,1,2,0.0,1,395
a3d423e,2020-07-27,2020-07,0,1,1,0,0.0,1,68
daf9ec7,2020-07-28,2020-07,1,1,1,2,0.0,1,159
f31a8ce,2020-07-28,2020-07,0,1,1,0,0.0,1,97
0db9525,2020-07-28,2020-07,1,19,19,38,0.0,1,26
2db3c9a,2020-07-28,2020-07,1,23,27,50,0.0,1,34
ba118b4,2020-07-28,2020-07,1,37,28,65,0.0,1,61
d25ee22,2020-07-28,2020-07,1,22,45,66,0.0,1,65
89d1487,2020-07-28,2020-07,5,129,101,228,12.7287,1,45
36e6fc8,2020-07-28,2020-07,0,397,430,0,0.0,1,85
37551e6,2020-07-28,2020-07,0,0,13,0,0.0,1,89
6ff7004,2020-07-29,2020-07,2,8,7,15,3.9872,1,386
fc0aa7a,2020-07-29,2020-07,0,8,7,0,0.0,1,65
2a388c4,2020-07-29,2020-07,1,1,1,2,0.0,1,367
fd0a608,2020-07-29,2020-07,0,1,1,0,0.0,1,63
2535707,2020-07-30,2020-07,4,58,37,95,10.0859,1,630
6638432,2020-07-30,2020-07,0,58,37,0,0.0,1,96
ce7ee64,2020-07-31,2020-07,2,2,2,4,2.3219,1,386
216d97c,2020-07-31,2020-07,0,2,2,0,0.0,1,65
b146a13,2020-07-22,2020-07,5,473,495,968,15.8712,1,111
632f85b,2020-08-01,2020-08,0,473,495,0,0.0,1,103
045abd6,2020-08-03,2020-08,1,1,1,2,0.0,1,395
eb865f8,2020-08-03,2020-08,0,1,1,0,0.0,1,68
414b30b,2020-08-07,2020-08,1,1,1,2,0.0,1,24
fd0f89e,2020-08-07,2020-08,0,1,1,0,0.0,1,83
7eeb0c8,2020-08-07,2020-08,1,1,1,2,0.0,1,367
5bf8cc2,2020-08-07,2020-08,0,1,1,0,0.0,1,95
1a6621e,2020-08-10,2020-08,2,2,2,4,2.3219,1,379
1a9059d,2020-08-10,2020-08,0,2,2,0,0.0,1,65
cf3089a,2020-08-13,2020-08,1,1,1,2,0.0,1,454
7be45a4,2020-08-17,2020-08,2,2,2,4,2.3219,1,379
e071734,2020-08-17,2020-08,0,2,2,0,0.0,1,65
1f1b65a,2020-08-23,2020-08,1,1,1,2,0.0,1,43
8952a17,2020-08-23,2020-08,0,1,1,0,0.0,1,95
fe55f92,2020-08-23,2020-08,1,4,1,5,0.0,1,244
0885e68,2020-08-24,2020-08,1,1,1,2,0.0,1,411
6d3f87e,2020-08-24,2020-08,0,1,1,0,0.0,1,69
5bfe236,2020-08-26,2020-08,1,1,1,2,0.0,1,36
a1fb8f1,2020-08-31,2020-08,1,2,2,4,0.0,1,33
983af12,2020-09-07,2020-09,1,1,1,2,0.0,1,367
baaf864,2020-09-07,2020-09,0,1,1,0,0.0,1,63
ad10d12,2020-09-14,2020-09,2,2,2,4,2.3219,1,386
e0d7d40,2020-09-14,2020-09,0,2,2,0,0.0,1,65
de464c0,2020-09-15,2020-09,1,1,1,2,0.0,1,56
12a4d15,2020-09-26,2020-09,1,1,1,2,0.0,1,29
598c56c,2020-09-28,2020-09,1,7,8,15,0.0,1,19
7e312c4,2020-09-28,2020-09,1,1,1,2,0.0,1,44
84a4669,2020-10-01,2020-10,2,2,2,4,2.3219,1,415
4e8b020,2020-10-01,2020-10,0,2,2,0,0.0,1,68
8efea0c,2020-10-03,2020-10,2,29,1,30,3.5766,1,506
bdf7083,2020-10-07,2020-10,1,1,1,2,0.0,1,35
fa5aebc,2020-10-11,2020-10,1,1,1,2,0.0,1,27
8c6baee,2020-10-11,2020-10,1,15,15,30,0.0,1,30
967b235,2020-10-15,2020-10,0,1,1,0,0.0,1,125
9d824db,2020-10-15,2020-10,1,1,1,2,0.0,1,102
c5a5d9b,2020-10-15,2020-10,2,2,4,6,2.8074,1,502
1035efc,2020-10-16,2020-10,14,498,126,624,29.3185,1,225
070a0c1,2020-10-21,2020-10,1,2,3,5,0.0,1,43
5d60cce,2020-10-29,2020-10,1,1,1,2,0.0,1,57
7646752,2020-10-10,2020-10,2,8,7,15,2.266,1,15
1c6dc15,2020-10-31,2020-10,1,1,1,2,0.0,1,24
2676973,2020-10-31,2020-10,1,0,1,1,0.0,1,46
06495e7,2020-10-31,2020-10,0,8,8,0,0.0,1,48
7c20611,2020-11-01,2020-11,1,1,1,2,0.0,1,41
a0e2aca,2020-10-31,2020-10,2,402,380,782,9.6074,1,32
6def8a4,2020-10-31,2020-10,1,10,0,10,0.0,1,47
8ad9b41,2020-10-31,2020-10,0,412,380,0,0.0,1,58
65de6cc,2020-11-01,2020-11,1,4,3,7,0.0,1,527
f7e33f2,2020-11-01,2020-11,1,2,5,7,0.0,1,556
aa0c949,2020-11-01,2020-11,1,1,1,2,0.0,1,483
3b57c19,2020-11-01,2020-11,2,2,2,4,2.3219,1,502
373f0dd,2020-11-01,2020-11,7,33,35,68,14.7219,1,27
7a444c5,2020-11-04,2020-11,4,42,36,78,6.0652,1,244
22987b6,2020-11-04,2020-11,3,20,3,23,5.9677,1,64
577eec1,2020-11-05,2020-11,1,2,2,4,0.0,1,81
15a49e7,2020-11-04,2020-11,0,6,14,0,0.0,1,20
dc11cdb,2020-11-05,2020-11,8,259,653,912,15.7221,1,743
bbb273b,2020-11-05,2020-11,0,259,653,0,0.0,1,104
f325b8b,2020-11-13,2020-11,1,15,0,15,0.0,1,25
b246488,2020-11-14,2020-11,1,1,1,2,0.0,1,29
11798fd,2020-11-16,2020-11,1,1,1,2,0.0,1,37
d6b974f,2020-11-17,2020-11,1,1,1,2,0.0,1,44
0855252,2020-11-17,2020-11,1,1,1,2,0.0,1,41
cd3a93a,2020-11-23,2020-11,1,1,1,2,0.0,1,37
28a3eb1,2020-11-24,2020-11,0,1,1,0,0.0,1,104
cab8121,2020-12-21,2020-12,1,1,1,2,0.0,1,37
9b62405,2020-12-22,2020-12,0,1,1,0,0.0,1,104
7d3ae48,2020-12-30,2020-12,1,2,2,4,0.0,1,173
de0af03,2020-12-30,2020-12,0,2,2,0,0.0,1,43
e4c70ef,2021-01-01,2021-01,2,2,2,4,2.3219,1,379
2622739,2021-01-01,2021-01,1,1,1,2,0.0,1,411
27a36f1,2021-01-01,2021-01,0,2,2,0,0.0,1,65
50eb6e5,2021-01-01,2021-01,0,1,1,0,0.0,1,69
d1a2102,2021-01-01,2021-01,1,2,2,4,0.0,1,395
959c64e,2021-01-01,2021-01,0,2,2,0,0.0,1,68
a7cf23a,2021-01-01,2021-01,3,4,6,10,5.4346,1,374
d42eac9,2021-01-01,2021-01,0,4,6,0,0.0,1,67
eb41e7e,2021-01-03,2021-01,1,2,0,2,0.0,1,54
da8865b,2021-01-03,2021-01,2,2,2,4,2.3219,1,31
aff21fd,2021-01-03,2021-01,1,1,1,2,0.0,1,101
444550a,2021-01-03,2021-01,0,1,1,0,0.0,1,95
7d2ba3e,2021-01-04,2021-01,0,1,1,0,0.0,1,43
2fab8a3,2021-01-04,2021-01,1,3,3,6,0.0,1,40
54ae1cb,2021-01-06,2021-01,1,4,4,8,0.0,1,28
c676c2c,2021-01-06,2021-01,0,4,2,0,0.0,1,103
7f20691,2021-01-06,2021-01,0,4,4,0,0.0,1,89
7068d09,2021-01-27,2021-01,1,1,1,2,0.0,1,27
d887d32,2021-01-27,2021-01,0,1,1,0,0.0,1,92
fdba0d2,2021-01-29,2021-01,2,17,32,49,5.6286,1,16
1936ca8,2021-01-29,2021-01,5,5,5,10,8.0326,1,35
14f5636,2021-01-29,2021-01,2,23,4,27,2.4193,1,34
eb42655,2021-01-29,2021-01,1,4,11,15,0.0,1,42
64206c1,2021-01-29,2021-01,2,5,22,27,3.3233,1,47
055cdc2,2021-01-29,2021-01,2,4,4,8,2.5717,1,45
81ba6c2,2021-02-01,2021-02,1,1,1,2,0.0,1,47
9f7ac04,2021-02-01,2021-02,0,59,79,0,0.0,1,101
78bcf1d,2021-02-02,2021-02,1,123,49,172,0.0,1,367
557e214,2021-02-02,2021-02,0,123,49,0,0.0,1,63
b379bd4,2021-02-02,2021-02,1,1,1,2,0.0,1,414
5ecbf1e,2021-02-02,2021-02,2,23,12,35,1.6337,1,419
c52ffa8,2021-02-02,2021-02,2,65,28,93,0.982,1,437
963f68a,2021-02-02,2021-02,0,65,28,0,0.0,1,70
d1b36ce,2021-02-02,2021-02,0,1,1,0,0.0,1,70
7eebe22,2021-02-02,2021-02,2,2,2,4,2.3219,1,379
296bd2f,2021-02-02,2021-02,2,2,2,4,2.3219,1,374
096ac67,2021-02-02,2021-02,0,23,12,0,0.0,1,67
510268e,2021-02-02,2021-02,2,2,2,4,2.3219,1,386
e783424,2021-02-02,2021-02,0,2,2,0,0.0,1,65
6c828c3,2021-02-02,2021-02,0,2,2,0,0.0,1,65
8b28c21,2021-02-02,2021-02,0,2,2,0,0.0,1,66
fb5f04a,2021-02-02,2021-02,3,3,3,6,4.4496,1,372
9326145,2021-02-02,2021-02,0,3,3,0,0.0,1,67
d55ee5b,2021-02-01,2021-02,1,1,1,2,0.0,1,37
6355f12,2021-02-01,2021-02,0,1,1,0,0.0,1,104
451c1f8,2021-01-30,2021-01,1,22,8,30,0.0,1,102
15f0fc2,2021-02-01,2021-02,0,22,8,0,0.0,1,127
0162148,2020-10-16,2020-10,3,28,3,31,5.6787,1,74
fdf5d11,2021-02-01,2021-02,0,28,3,0,0.0,1,141
b473e7c,2021-02-01,2021-02,7,28,88,115,16.2482,1,25
192f4ae,2021-02-01,2021-02,0,28,88,0,0.0,1,77
0ee1b0b,2021-02-08,2021-02,1,0,54,54,0.0,1,47
ff3fb96,2021-02-08,2021-02,0,0,54,0,0.0,1,84
3fe23bf,2021-02-08,2021-02,1,2,2,4,0.0,1,37
ee08948,2021-02-08,2021-02,0,2,2,0,0.0,1,104
bfd4dc6,2021-02-08,2021-02,2,3,14,17,4.1595,1,18
571e638,2021-02-08,2021-02,6,83,45,127,17.4081,1,22
dbe76bb,2021-02-08,2021-02,1,19,0,19,0.0,1,97
3c00658,2021-02-08,2021-02,3,27,27,54,7.2487,1,19
b496d8b,2021-02-08,2021-02,1,18,17,35,0.0,1,25
adeaf27,2021-02-08,2021-02,0,150,103,0,0.0,1,74
8d95015,2021-02-16,2021-02,2,9,1,10,1.6225,1,68
76abbe9,2021-02-19,2021-02,1,1,5,6,0.0,1,59
aee3f3f,2021-02-19,2021-02,0,1,5,0,0.0,1,113
3cd615a,2021-02-24,2021-02,3,26,18,44,7.1905,1,20
9e7d3a6,2021-02-24,2021-02,3,4,5,8,4.4558,1,32
0c7cbe2,2021-02-24,2021-02,2,1,7,8,2.5717,1,25
dcd3b5c,2021-02-24,2021-02,0,40,31,0,0.0,1,99
49b7341,2021-02-25,2021-02,3,12,17,29,5.4616,1,39
4846e25,2021-02-25,2021-02,0,12,17,0,0.0,1,92
6e7869e,2021-03-01,2021-03,1,1,1,2,0.0,1,367
1748bb0,2021-03-01,2021-03,2,2,2,4,2.3219,1,379
e4e6618,2021-03-01,2021-03,0,1,1,0,0.0,1,63
82d69cd,2021-03-01,2021-03,0,2,2,0,0.0,1,65
705e526,2021-02-14,2021-02,3,61,0,61,6.6251,1,478
5fea7ca,2021-03-08,2021-03,0,61,0,0,0.0,1,86
fd62210,2021-02-21,2021-02,3,23,21,44,5.9897,1,218
83d358d,2021-02-23,2021-02,1,5,6,11,0.0,1,269
6d9d79c,2021-03-08,2021-03,0,28,27,0,0.0,1,49
33145c3,2021-03-10,2021-03,3,9,4,13,4.9333,1,45
3316604,2021-03-10,2021-03,0,9,4,0,0.0,1,96
9f7c602,2021-03-08,2021-03,3,344,353,697,9.8547,1,38
7029674,2021-03-08,2021-03,3,208,169,377,8.6961,1,21
25ab05e,2021-03-09,2021-03,1,0,6,6,0.0,1,41
ef52e3e,2021-03-10,2021-03,1,2,11,13,0.0,1,40
3dfc12e,2021-03-10,2021-03,1,44,49,93,0.0,1,33
510c38c,2021-03-10,2021-03,0,590,580,0,0.0,1,85
46d8e90,2021-03-15,2021-03,1,1,1,2,0.0,1,37
0203315,2021-03-15,2021-03,0,1,1,0,0.0,1,104
6eeaa2e,2021-03-16,2021-03,1,1,1,2,0.0,1,17
1672c5f,2021-03-16,2021-03,0,1,1,0,0.0,1,84
06fd6ac,2021-03-22,2021-03,1,1,1,2,0.0,1,37
ecb3450,2021-03-22,2021-03,0,1,1,0,0.0,1,104
70b58c8,2021-04-05,2021-04,1,1,1,2,0.0,1,37
85b8fab,2021-04-05,2021-04,0,1,1,0,0.0,1,104
6979265,2020-07-06,2020-07,11,165,9,174,19.8968,1,419
c6c6408,2021-02-10,2021-02,3,19,1,20,6.7619,1,365
285a873,2021-04-06,2021-04,2,2,2,4,2.3219,1,434
9ddef01,2021-04-06,2021-04,0,2,2,0,0.0,1,67
00f5a3e,2021-03-24,2021-03,5,169,32,201,12.2157,1,483
61fbae8,2021-04-06,2021-04,1,2,0,2,0.0,1,43
dc3e9c0,2021-04-06,2021-04,7,109,65,171,15.2215,1,17
1a79d2d,2021-04-07,2021-04,0,380,23,0,0.0,1,64
08693ae,2021-04-12,2021-04,1,1,1,2,0.0,1,37
5f03ad3,2021-04-12,2021-04,0,1,1,0,0.0,1,104
6d5ccde,2021-04-11,2021-04,1,16,1,17,0.0,1,318
85dce2c,2021-04-12,2021-04,0,16,1,0,0.0,1,84
f92e820,2021-02-24,2021-02,5,154,56,210,14.9826,1,501
64213fc,2021-04-14,2021-04,0,154,56,0,0.0,1,63
32272da,2021-04-14,2021-04,2,20,0,20,2.06,1,100
16f51ef,2021-04-14,2021-04,0,20,0,0,0.0,1,96
8ab4967,2021-04-15,2021-04,4,26,23,49,8.7454,1,44
5a7a4ab,2021-04-15,2021-04,1,19,20,39,0.0,1,49
f3ed132,2021-04-15,2021-04,0,19,20,0,0.0,1,115
85b430a,2021-04-15,2021-04,3,13,2,15,4.9678,1,23
ec27677,2021-04-15,2021-04,1,0,7,7,0.0,1,19
fab26dc,2021-04-15,2021-04,0,13,9,0,0.0,1,90
5c6a0f0,2021-04-16,2021-04,3,5,1,6,4.0963,1,412
39887ee,2021-04-16,2021-04,0,5,1,0,0.0,1,79
6f09b4b,2021-04-16,2021-04,0,1,1,0,0.0,1,65
e00a4a4,2021-04-16,2021-04,3,5,6,11,5.519,1,28
078a3c3,2021-04-16,2021-04,4,21,18,39,7.7802,1,19
afda0ed,2021-04-16,2021-04,1,1,1,2,0.0,1,33
0700094,2021-04-16,2021-04,1,4,4,8,0.0,1,35
7df5db7,2021-04-16,2021-04,1,1,1,2,0.0,1,24
34eb0da,2021-04-16,2021-04,0,33,31,0,0.0,1,72
1c3b53c,2021-04-17,2021-04,2,28,0,28,1.0799,1,306
f74cce1,2021-04-17,2021-04,2,19,0,19,2.0981,1,113
03db919,2021-04-17,2021-04,0,47,0,0,0.0,1,42
c791f63,2021-04-22,2021-04,1,1,1,2,0.0,1,26
e6e75e5,2021-04-24,2021-04,1,3,0,3,0.0,1,37
f405c6f,2021-04-23,2021-04,6,49,0,49,9.4248,1,88
7723709,2021-04-24,2021-04,20,820,461,1281,38.0322,1,110
b373e7a,2021-04-26,2021-04,1,3,3,6,0.0,1,401
b8ddd52,2021-04-27,2021-04,0,3,3,0,0.0,1,104
1a8549d,2021-04-27,2021-04,0,869,461,0,0.0,1,44
10b0d6b,2021-04-24,2021-04,2,52,49,101,6.672,1,99
26a6cc0,2021-04-24,2021-04,5,26,3,29,10.6245,1,232
1ccf063,2021-04-27,2021-04,0,52,49,0,0.0,1,97
77db3d5,2021-04-27,2021-04,0,26,3,0,0.0,1,96
9be0156,2021-04-28,2021-04,1,2,0,2,0.0,1,26
d124214,2021-04-28,2021-04,1,8,0,8,0.0,1,35
0d63f10,2021-04-28,2021-04,0,8,0,0,0.0,1,104
36e6ec4,2021-04-28,2021-04,1,1,1,2,0.0,1,405
83b2f8f,2021-04-28,2021-04,0,1,1,0,0.0,1,70
ec044a2,2021-04-29,2021-04,1,6,0,6,0.0,1,49
0c198df,2021-04-29,2021-04,0,6,0,0,0.0,1,98
467d2e2,2021-05-01,2021-05,2,2,2,4,2.3219,1,419
98fbb6a,2021-05-01,2021-05,0,2,2,0,0.0,1,115
8bfce88,2021-05-02,2021-05,1,4,4,8,0.0,1,25
