month,entropy,commit_count,avg_insertions,avg_deletions,month_str,is_release,repo,entropy_lag1,entropy_lag2,entropy_delta,commit_delta,churn_ratio,entropy_rolling3
2020-06,6.962515547165044,265.0,108.13584905660377,14.237735849056603,2020-06,1,numpy,7.219240950128681,6.737736186754091,-0.256725402963637,-49.0,0.883653519990312,6.973164228015939
2020-07,7.397280650179326,291.0,76.80412371134021,119.84536082474227,2020-07,1,numpy,6.962515547165044,7.219240950128681,0.43476510301428206,26.0,0.39056356487350546,7.193012382491017
2020-08,7.0526103716049,260.0,61.38461538461539,49.34615384615385,2020-08,0,numpy,7.397280650179326,6.962515547165044,-0.34467027857442556,-31.0,0.5543591524784949,7.137468856316423
2020-09,6.083005210744721,315.0,120.97777777777777,75.24444444444444,2020-09,0,numpy,7.0526103716049,7.397280650179326,-0.969605160860179,55.0,0.6165345413332113,6.844298744176316
2020-10,8.097810594622246,391.0,79.99488491048594,22.309462915601024,2020-10,0,numpy,6.083005210744721,7.0526103716049,2.0148053838775244,76.0,0.7819304517310632,7.077808725657289
2020-11,6.868370425039042,261.0,92.55555555555556,29.260536398467433,2020-11,1,numpy,8.097810594622246,6.083005210744721,-1.2294401695832038,-130.0,0.7597974460527676,7.016395410135336
2020-12,4.720193950820275,287.0,437.93379790940764,139.98606271777004,2020-12,1,numpy,6.868370425039042,8.097810594622246,-2.148176474218767,26.0,0.757775995850687,6.5621249901605205
2021-01,7.30224867635669,243.0,58.58024691358025,24.679012345679013,2021-01,1,numpy,4.720193950820275,6.868370425039042,2.5820547255364152,-44.0,0.7035883748432694,6.296937684072002
2021-02,6.7942344729786965,336.0,102.22619047619048,29.336309523809526,2021-02,1,numpy,7.30224867635669,4.720193950820275,-0.5080142033779937,93.0,0.7770161746349717,6.272225700051887
2021-03,7.412366042949808,293.0,54.80204778156997,30.58703071672355,2021-03,0,numpy,6.7942344729786965,7.30224867635669,0.6181315699711112,-43.0,0.6417922378916805,7.169616397428398
2021-04,5.617551113097721,239.0,106.9581589958159,50.55648535564853,2021-04,1,numpy,7.412366042949808,6.7942344729786965,-1.7948149298520866,-54.0,0.6790362853912159,6.6080505430087415
2021-05,7.5529615813645705,398.0,80.32914572864321,28.59045226130653,2021-05,1,numpy,5.617551113097721,7.412366042949808,1.9354104682668494,159.0,0.7375086505122599,6.860959579137366
2021-06,4.857807451630067,306.0,253.62091503267973,92.59150326797386,2021-06,1,numpy,7.5529615813645705,5.617551113097721,-2.6951541297345036,-92.0,0.7325586883244054,6.009440048697453
2021-07,7.507567084552357,311.0,221.92604501607718,94.94212218649518,2021-07,1,numpy,4.857807451630067,7.5529615813645705,2.64975963292229,5.0,0.7003734296651533,6.639445372515664
2021-08,4.199470519876619,249.0,1189.6104417670683,630.2409638554217,2021-08,0,numpy,7.507567084552357,4.857807451630067,-3.308096564675738,-62.0,0.6536854811832848,5.521615018686347
2021-09,6.249128885955348,320.0,91.275,46.8,2021-09,0,numpy,4.199470519876619,7.507567084552357,2.049658366078729,71.0,0.6610537751174287,5.985388830128109
2021-10,6.791512724823306,311.0,95.82636655948554,30.636655948553056,2021-10,1,numpy,6.249128885955348,4.199470519876619,0.5423838388679583,-9.0,0.7577421815348168,5.746704043551758
2021-11,4.756571650202136,319.0,258.30407523510974,106.53918495297806,2021-11,1,numpy,6.791512724823306,6.249128885955348,-2.0349410746211705,8.0,0.7079864243654608,5.93240442032693
2021-12,5.665112319027816,221.0,133.84615384615384,95.56108597285068,2021-12,1,numpy,4.756571650202136,6.791512724823306,0.9085406688256805,-98.0,0.5834434604207392,5.737732231351086
2022-01,3.825350527436216,334.0,631.8682634730538,218.73652694610777,2022-01,1,numpy,5.665112319027816,4.756571650202136,-1.8397617915916005,113.0,0.7428458792959989,4.749011498888723
2022-02,6.967701316037761,200.0,101.77,39.725,2022-02,0,numpy,3.825350527436216,5.665112319027816,3.1423507886015454,-134.0,0.71924802996064,5.4860547208339305
2022-03,5.253210829845582,142.0,114.64084507042253,84.46478873239437,2022-03,0,numpy,6.967701316037761,3.825350527436216,-1.7144904861921795,-58.0,0.5757790117751296,5.348754224439852
2022-04,6.364077275389688,128.0,77.0,33.828125,2022-04,1,numpy,5.253210829845582,6.967701316037761,1.1108664455441062,-14.0,0.6947694910412427,6.194996473757677
2022-05,7.053582422068858,247.0,81.56680161943319,36.473684210526315,2022-05,1,numpy,6.364077275389688,5.253210829845582,0.6895051466791697,119.0,0.6910069968387063,6.223623509101376
2022-06,3.7043479199754903,372.0,654.6370967741935,208.91397849462365,2022-06,1,numpy,7.053582422068858,6.364077275389688,-3.3492345020933674,125.0,0.7580757126260907,5.707335872478012
2022-07,6.967813369836318,162.0,22.561728395061728,15.117283950617283,2022-07,1,numpy,3.7043479199754903,7.053582422068858,3.2634654498608273,-210.0,0.5987876801938068,5.9085812372935544
2022-08,6.368701757899526,111.0,43.7027027027027,23.00900900900901,2022-08,0,numpy,6.967813369836318,3.7043479199754903,-0.5991116119367916,-51.0,0.6550979068098965,5.6802876825704445
2022-09,6.6223498221991335,144.0,44.263888888888886,20.11111111111111,2022-09,0,numpy,6.368701757899526,6.967813369836318,0.2536480642996075,33.0,0.6875943904963308,6.652954983311659
2022-10,6.408758068330986,174.0,37.40229885057471,28.896551724137932,2022-10,1,numpy,6.6223498221991335,6.368701757899526,-0.21359175386814755,30.0,0.564147018022004,6.466603216143215
